5г,5л,5м,5мм,5о,5у
понедельник:,понедельник:,понедельник:,понедельник:,понедельник:,понедельник:
Русский язык,География,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Русский язык,История,Русский язык
Математика,Русский язык,История,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Русский язык,ОРКСЭ
История,"Англ.яз.Зирапс, Англ.яз.Бернацкая",История,Математика,Русский язык,История
ОРКСЭ,Литература,Математика,История,Математика,"Англ.яз.Терещенко, Англ.яз.Зирапс"
"Англ.яз.Зирапс, Англ.яз.Бернацкая",История,Математика,История,ОРКСЭ,Литература
Литература,ОРКСЭ,,География,Математика,Математика
,,,Литература,,
вторник:,вторник:,вторник:,вторник:,вторник:,вторник:
Музыка,Математика,,Русский язык,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Русский язык
Русский язык,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Музыка,Русский язык,Математика,Литература
"Испан.яз.Кулиш, Англ.яз.Бернацкая",Математика,Русский язык,Математика,Русский язык,Русский язык
"Англ.яз.Зирапс, Испан.яз.Кулиш",Русский язык,Математика,Музыка,Литература,Математика
Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура
Обществознание,"ИнформатикаЖиткова, ИнформатикаРайкова",Русский язык,Математика,"Англ.яз.Зирапс, -----",
,,,Литература,,
среда:,среда:,среда:,среда:,среда:,среда:
Русский язык,Русский язык,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Обществознание,"ИнформатикаЖиткова, ИнформатикаРайкова",Математика
Литература,Русский язык,Астрономия,"ФизикаМельников, Спецматематика","Англ.яз.Зирапс, Англ.яз.Бернацкая",Математика
ИЗО,"Англ.яз.Зирапс, Англ.яз.Бернацкая",География,"ФизикаМельников, Спецматематика",Русский язык,Литература
География,ИЗО,Обществознание,"Спецматематика, ФизикаМельников",Русский язык,"Англ.яз.Терещенко, Англ.яз.Зирапс"
"Испан.яз.Кулиш, Англ.яз.Бернацкая",Обществознание,Литература,"Спецматематика, ФизикаМельников",География,Русский язык
История,Литература,"Спецматематика, ИнформатикаГолубев","Англ.яз.Зирапс, Англ.яз.Бернацкая",Литература,"ИнформатикаЖиткова, ИнформатикаРайкова"
,,"Спецматематика,     ------",Астрономия,,
четверг:,четверг:,четверг:,четверг:,четверг:,четверг:
Русский язык,Математика,Русский язык,"Англ.яз.Зирапс, Спецматематика","Англ.яз.Бернацкая, ----",Русский язык
Математика,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Русский язык,"ИнформатикаГолубев, Спецматематика",Обществознание,Биология
Математика,Русский язык,"Англ.яз.Зирапс, Англ.яз.Бернацкая","Спецматематика, ИнформатикаГолубев",Литература,ИЗО
Русский язык,Математика,Литература,"Спецматематика, Англ.яз.Бернацкая",ИЗО,Математика
Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура
Литература,Биология,"ИнформатикаГолубев, Спецматематика",Русский язык,,
,,"  --------, Спецматематика",Литература,,
пятница:,пятница:,пятница:,пятница:,пятница:,пятница:
"Англ.яз.Бернацкая, Англ.яз.Зирапс",,ИЗО,Русский язык,Математика,Музыка
Математика,"Англ.яз.Зирапс, Англ.яз.Бернацкая",Русский язык,ИЗО,Музыка,История
Биология,История,Литература,Математика,Математика,Обществознание
"Англ.яз.Зирапс, ИнформатикаРайкова",Литература,"БиологияМзолевеский, ИнформатикаГолубев",Математика,Биология,География
"ИнформатикаРайкова, Испан.яз.Кулиш",Математика,Математика,"Биология, ИнформатикаГолубев",История,"Англ.яз.Терещенко, Англ.яз.Зирапс"
Математика,Музыка,Математика,"ИнформатикаГолубев, Биология",,
,,"ИнформатикаГолубев, Б БиологияМозолевский",Физпрак1раз в 2 недели,,
,,,Физпрак1раз в 2 недели,,
суббота:,суббота:,суббота:,суббота:,суббота:,суббота:
,,"ФизикаМельников, Спецматематика",,,
,,"ФизикаМельников, Спецматематика",,,
,,"Спецматематика, ФизикаМельников",,,
,,"Спецматематика, ФизикаМельников",,,
,,Физпрак1раз в 2 недели,,,
,,Физпрак1раз в 2 недели,,,
