Index,Speech,ThemeLabel
218,меня интересует телефон на филиала в городе нижний новгород а где в работе с юридическими лицами,0
3998,не пришло смс пароль,8
10545,можете меня соединить с оператором,21
6910,меня интересует номер телефона банка а про,15
2560,погашение кредита досрочно,5
778,что то же самое банкомате отделения банка банкомат,0
8237,перечислили на карточку карта,18
12556,здравствуйте я хотела вот узнать можно ли через вас узнавать,27
2878,действующего кредита,5
8609,поступление денежных средств на мой счет,18
3019,перевод денег на другую карту,6
10168,позвонить оператору,21
1332,я бы хотел заблокировать карту,2
12855,закрытие счета организаций,31
10035,идите оператором,21
3420,задолженности,7
3563,а зарегистрироваться в интернете банке,8
12297,меня интересует работа нашего терминала,25
1194,адреса в екатеринбурге банков,0
7697,меня интересует не зарплату перечислили на карточку деньги не пришли,18
8598,платеж через терминал не пришли,18
10150,связаться с оператором необходимо по поводу того что не могу почему,21
3878,мне пришло пароль,8
9608,открытие вклада день,20
13193,физическое лицо,33
11806,заявка банк на кредит,24
9665,мне нужно сделать заявку на получение наличных денежных средств по вкладу,20
70,интересует отсутствие денег в банкомате,0
4585,снятие ареста с банковской карты,9
13266,вопрос по юридическим лицам,35
2427,меня интересует вопрос по кредиту,5
4328,ес,9
7592,меня интересует перевод с моего счета денег на мою сбербанковскую карту,18
4112,а можно узнать в кассе день сказать,8
2889,мне нужно перевести платеж на другое,5
7928,кода,18
7739,утеряна карта,18
12937,открытие счета выбор то,31
10525,я там на как города сибае поэтому может не позвонить во специалист проконсультироваться хочу,21
11771,получение кредита потребительский,24
8870,хочу узнать мой платеж прошел,18
6909,подключить мобильный банк,15
2267,алло мне не вклада,4
5651,до какого возраста вы даете кредит,10
10070,связи с сотрудником,21
5018,перевод с карты на карту контракт банке,9
9977,интересует информация о сотрудники,21
124,не читается карта в банкомате,0
11247,кредит потребительский кредит наличными,24
2451,перенос дата платежа,5
5269,эсэмэски несколько дней,10
1009,да на у нас то вокзале,0
9104,оплата обучения внести эти,18
5349,кредит на дом пять минут,10
8807,какая комиссия взымается если оплатить услуги вашем банке карты,18
2876,нас интересует предыдущий кредит оплата предыдущего кредита,5
6898,как войти в мобильный банк,15
3957,пароль клиент банка,8
8034,карту получил,18
7851,мне нужен с оператором по зарплатной карте,18
6454,карту кредитную мне должны их прислать,11
889,алло пожалуйста вот я нахожусь в центрального банка хотел бы,0
2475,мне пришла смска заплатить срочно по кредит,5
10005,консультации по банкомату,21
1372,меня интересует можно с натальей переговорить мне наталья звонил,3
11278,мы хотели мы хотели кредит получить у нас кредит на значит было в понедельник на в городе свердловске первое,24
6205,кредит жду,10
4887,да я по по карте москва что,9
9412,нет меня оформить кредитную карту у меня как бы на и я на нее положила деньги кредит заплатила,19
803,банкомат банкомат,0
3827,для входа в интернет банк,8
11059,а меня в по поводу того узнать по поводу кредита,24
3731,зайти в интернет банк,8
11830,бумаг не работает вашего банка я хочу потеряли по банк возьмет мне кредит или нет э процент,24
12821,открытие счета юридического лица,31
10470,нужно связаться с оператор,21
12765,закрыть счет,31
4870,только,9
13246,работа с юрлицами,35
5009,я хочу узнать по поводу карты,9
11659,могу я получить кредит,24
10299,нужно связаться с менеджером,21
12888,хочу узнать информацию по поводу открытия счета,31
11518,мы хотели взять кредит,24
4440,пять тысяч,9
8334,идет с карты на карту надо деньги вот на карту не дает чек изъял карту даже туда положить с другой карты,18
2637,а у действующим кредит,5
7191,заказать деньги которые в останкин находится чтобы сейчас,17
6085,во ипотека,10
12958,эти расчетного счета юридического лица,31
5298,за четырнадцатый,10
11930,при кредит оформлять,24
12999,меня интересует вопрос по расчетного счета моему,31
7369,платеж по,18
9594,узнать процент по вкладам и на какой срок,20
5674,надо кредит сеть,10
5474,мне пришла смска насчет кредита,10
2780,вопрос по здесь ничего кредиту,5
6327,меня интересует на сколько лет не кредит да да ли кредита нам одобрили кредит девяносто восемь лиц,10
12035,я по да я подавала заявку на кредит алло,24
11544,ни то код для получения кредита,24
3934,забыл пароль забыла пароль который был вы не откроете сейчас,8
11261,оформление кредита наличными,24
156,банкоматы без комиссии,0
5132,ну все что выплатили на карточку,9
7260,вопрос по действующей карте,18
13196,алло не физических лиц,33
7224,действия действующих вклад,17
7286,я хотел проверить баланс на карте не должны были перечислить деньги зарплату,18
3372,задолжность пришла на алло,7
12115,меня интересует страховка мы сняли с ума пятьдесят тысяч за страховку я кредита забрал двенадцать алло,24
10286,с оператором переговорить,21
5886,свяжите меня с кредит,10
11790,нет нет нет я хочу просто взять с вас бумажку что я пользовалась и кредитам у вас,24
11215,мне пришла смска что мне одобрили кредит я хотела бы узнать подробности,24
10143,оператор сказал перезвоню сейчас у нас,21
5579,девушка я на про а чего и кредит мне,10
3661,строить интернет банк,8
4220,у меня слышите,9
12513,здравствуйте меня интересует такой момент вот я в интернете смотрю условия,27
12299,а у меня по поводу терминал вопрос,25
1601,мне вчера был звонок я не сменила не услышать мне ответить,3
10712,а я бы хотел узнать сделали мне карту,23
10655,платежное поручение выпустили,22
7717,по действующей карте вопрос,18
9070,вот еще пин да,18
2196,узнать по вкладу,4
266,телефон саратовской в отделение на мичуринском,0
7026,возникла проблема с работы банкомата,16
5028,карта максима,9
4829,ничего не,9
9639,процентов надо,20
303,сообщений интересует обновление ваши программы причем день банкомат,0
9808,поговорить с консультантом,21
12914,открыть расчетный счет для юридического лица,31
7823,оплата по последний,18
1394,она она хочется узнать по поводу по какому поводу мне звонили с этого номера,3
13268,на услуги для юридических лиц,35
2151,алло я хотела бы все,4
7986,не пришли деньги на карточку зарплата,18
7088,оставили карту в банкомате,16
6846,валюта продажа,14
274,отделение банка в крыму,0
2410,у меня закрыть кредит,5
8985,мне нужно снять лимит по моей карте,18
13290,а счет юрлица,35
7555,меня интересует платеж,18
12666,какие нужно справка для оформления кредитной карты,28
10337,сша или с оператором,21
12487,алло здравствуйте дело в том что вот звонят моего с алло значит,27
5428,меня с вашими прошла а на телефон интересует кредитам,10
6857,меня интересует приобретение валюты,14
8056,как с кодом что делать,18
10327,связаться с оператором связаться,21
9677,вклад открыть,20
12132,вот я хотел бы от вас кредит,24
7507,платеж не прошел причиной,18
11917,я подавал заявку на кредит не не позвонил никто хотелось бы узнать результат,24
12351,платежный терминал,25
4094,ну слушайте я сказал что меня интересует меня интересует под идет рекламы наград такого подошли кредита,8
5275,смски мне надо точный,10
1714,вчера звонили по какому поводу,3
5992,ищу кредита,10
13285,это или тысячи или юридическое лицо,35
9291,проблема с карточкой,18
3479,интернет банкинг,8
6016,кредиту все шестнадцать,10
13222,торговой эквайринг,34
7297,снятие наличных,18
11135,получение то,24
9175,да для получения вами мне пришло код,18
256,меня интересует филиал,0
3452,мне нужно распечатать из интернет банком вы э платежный получения две тысячи тринадцатый две тысячи четырнадцатый год,8
5318,кредит для бизнеса,10
3303,у меня долг по кредиту вашего банка карте вот нужно получить ключ и вот,7
9771,пожалуйста соедините меня с оператором,21
5576,меня интересует меня интересует кредит,10
267,отделение качканар к,0
2614,то что действующему кредиту,5
4983,меня интересу пуск карты банковские карты,9
10288,мне бы с оператором пообщаться,21
9386,хочу получить деньги со счета,19
1413,здравствуйте меня интересует звонок уже банк город нефтеюганск а,3
5286,кредит на,10
3545,ваш разговор будет продолжен пожалуйста оставайтесь на линии я к обеспечению в кассе нет при вот а он давай,8
237,деньги надо пополнить карточку,0
10995,скажите пожалуйста мне кредит хотелось бы узнать,24
10,дополнительный офис телефон дополнительного офиса по улице куйбышева восемьдесят пять,0
6224,то что кредита,10
3703,и перед на работы кассы,8
150,отдел ростове на дону находится в банк,0
7692,карточку потерял,18
654,узнать телефон отделения не туда позвонить это через в общем номер надо говорить,0
3293,при закончится,7
