"10ф1","10м1","10ф2"
"1","1","1"
"понедельник:","понедельник:","понедельник:"
"Информатика Лебо","Основы высшей математики","Алгебра"
"Информатика Лебо","Основы высшей математики","Алгебра"
"Химия","Химия","Химия"
"История","История","История"
"Русский язык","Русский язык","Русский язык"
"Англ.яз.Чернявская","Англ.яз.Чернявская","Физика"
"Профангл.яз.","","Физика"
"","","Профангл.яз."
"2","2","2"
"вторник:","вторник:","вторник:"
"Электродинамика","Электродинамика","Специнформ."
"Электродинамика","Электродинамика","Специнформ."
"Геометрия","Геометрия","Физика"
"Геометрия","Геометрия","Физика"
"Физика","Физика","Англ.яз.  Шеленцова"
"Физика","Физика","Геометрия"
"Кинематика","Кинематика","Кинематика"
"Кинематика","Кинематика","Кинематика"
"3","3","3"
"cреда:","cреда:","cреда:"
"География","География","География"
"Химия","Химия","Химия"
"Литератера","Литератера","Литератера"
"Литератера","Литератера","Литератера"
"Физическая культура","Физическая культура","Физическая культура"
"Физическая культура","Физическая культура","Физическая культура"
"Англ.яз.Чернявская","Англ.яз.Чернявская","Физпрак"
"Англ.яз.Чернявская","Англ.яз.Чернявская","Физпрак"
"4","4","4"
"четверг:","четверг:","четверг:"
"Физика","Физика","Англ.яз. Шеленцова"
"Физика","Физика","Англ.яз. Шеленцова"
"ОБЖ","ОБЖ","ОБЖ"
"Биология","Биология","Биология"
"Литература","Литература","Литература"
"История","История","История"
"Матмод","Геометрия","Информатика Житкова"
"Матмод","","Информатика Житкова"
"5","5","5"
"пятница:","пятница:","пятница:"
"Алгебра","Алгебра","Матмод"
"Алгебра","Алгебра","Матмод"
"Матан","Основы высшей математики","Спецхимия"
"Матан","Основы высшей математики","Спецхимия"
"Спецхимия","","Матан"
"Спецхимия","","Матан"
"Физика (Лукьянов)","Физика (Лукьянов)","Физика (Лукьянов)"
"Физика (Лукьянов)","Физика (Лукьянов)","Физика (Лукьянов)"
"6","6","6"
"суббота:","суббота:","суббота:"
"","Алгебра","Алгебра"
"Геометрия","Алгебра","Алгебра"
"Физпрак","Информатика Жуков","Геометрия"
"Физпрак","Информатика Жуков","Геометрия"
"Алгебра","","Химпрак"
"Алгебра","","Химпрак"
"Химпрак","",""
"Химпрак","",""
"7","7","7"
