11и,11ф1,11ф2,11ф,11м,11у
понедельник:,понедельник:,понедельник:,понедельник:,понедельник:,понедельник:
Информатика Голубев,Алгебра Шелаев,Матан,"Англ.яз.Чернявская, Англ.яз.Петросян",Алгебра,Алгебра
Алгебра,Алгебра Шелаев,Матан,Русский язык,Алгебра,"Англ.яз.Петросян, Англ.яз.Щербачева"
Русский язык,Русский язык,Русский язык,"Матан, Алгебра",Русский язык,Алгебра
Англ.яз. Родина,Англ.яз.Петросян,Англ.яз.Петросян,"Матан, Алгебра",ОБЖ,Литература
Алгебра,Спецфизика,Алгебра Илясова,"Алгебра, Матан","Англ.яз.Чернявская, Англ.яз.Шеленцова",Химия
Англ.яз. Родина,Спецфизика,Алгебра Илясова,"Алгебра, Матан",Литература,"ИнформатикаФилатова, Англ.яз.Щербачева, "
,Матан,Спецфизика,География,,ИнформатикаШереметьев
,Матан,Спецфизика,,,
,,,,,
вторник:,вторник:,вторник:,вторник:,вторник:,вторник:
Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура
Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура,Физическая культура
Геометрия,Англ.яз.Петросян,Англ.яз.Петросян,Электродинамика,Электродинамика,Русский язык
Геометрия,Англ.яз.Петросян,Англ.яз.Петросян,Электродинамика,Электродинамика,История
Биология,Биология,Биология,Кинематика,Кинематика,Геометрия
Литература,Литература,Литература,Кинематика,Кинематика,Геометрия
Обществознание,Литература,Литература," ----, Матмод",,
,,," ----, Матмод",,
cреда:,cреда:,cреда:,cреда:,cреда:,cреда:
Англ.яз .Родина,Физика,Физика,"Физпрак, Информатика",История,Литература
Информатика Голубев,Физика,Физика,"Физпрак, Информатика",Обществознание,ОБЖ
Информатика Голубев,Информатика,Геометрия Зубкова,"Физика, Физпрак",Биология,Обществознание
Физика,Информатика,Геометрия Зубкова,"Физика, Физпрак",Химия,Русский язык
,Геометрия Зубкова,Физпрак,"Информатика, Физика",Геометрия,"Англ.яз.Петросян, Англ.яз.Щербачева"
,Геометрия Зубкова,Физпрак,"Информатика, Физика",Геометрия,Испан.яз.Кулиш
,Физпрак,Информатика,Литература,Литература,Англ.яз.Щербачева
,Физпрак,Информатика,,Литература,
четверг:,четверг:,четверг:,четверг:,четверг:,четверг:
История,История,История,История,Алгебра,Физика
ОБЖ,ОБЖ,ОБЖ,Обществознание,Алгебра,Физика
Литература,Литература,Литература,Биология,"Англ.яз.Чернявская, Англ.яз.Шеленцова",Обществознание
География,География,География,ОБЖ,"Англ.яз.Чернявская, Англ.яз.Шеленцова",Литература
Русский язык,Русский язык,Русский язык,Химия,"Спецмат, Спецмат",География
,Профангл.яз.,Геометрия Зубкова,Русский язык,"Спецмат, Спецмат",
,,Профангл.яз.,Литература,История,
,,,Профангл.яз.,,
пятница:,пятница:,пятница:,пятница:,пятница:,пятница:
История,История,История,"Англ.яз.Чернявская, Англ.яз.Петросян","Физика, Физпрак",
Химия,Химия,Химия,"Англ.яз.Чернявская, Англ.яз.Петросян","Физика, Физпрак",Алгебра
Информатика Голубев,Алгебра Шелаев,Алгебра Илясова,Литература,"Физпрак, Физика",Алгебра
Физика,Алгебра Шелаев,Алгебра Илясова,История,"Физпрак, Физика",История
Литература,Литература,Литература,"Физика, Алгебра",География,Биология
Алгебра,Геометрия Зубкова,,"Физика, Алгебра",Русский язык,"Испан.яз.Кулиш, Англ.яз.Петросян"
Алгебра,,,"Алгебра, Матмод",,
,,,"Алгебра, Матмод",,
суббота:,суббота:,суббота:,суббота:,суббота:,суббота:
,Физика,Физика,,"ИнформатикаЛебо, ИнформатикаЖуков",
,Физика,Физика," ----, Геометрия","ИнформатикаЛебо, ИнформатикаЖуков",
,Комбинаторика,Комбинаторика,"Спецфизика, Геометрия","Физика, Спецфизика",
,Комбинаторика,Комбинаторика,"Спецфизика, Геометрия","Физика, Спецфизика",
,,,"Геометрия, Спецфизика","Спецфизика, Физика",
,,,"Геометрия, Спецфизика","Спецфизика, Физика",
,,,"Геометрия, Физика",,
,,," ----, Физика",,
