"6г","6л","6м","6у","6фм"
"","","","",""
"понедельник:","понедельник:","понедельник:","понедельник:","понедельник:"
"Русский язык","История","Русский язык","Математика","Русский язык"
"Литература","Англ.яз.Морозихина, Англ.яз.Чернявская, Англ.яз.Шеленцова","Русский язык","Математика","Русский язык"
"Англ.яз.Морозихина, Англ.яз.Шулюгина, Испан.яз.Кулищ","Математика","Литература","Музыка","Математика"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"Математика","Музыка","География","Русский язык","Англ.яз.Морозихина, ФизикаСтепушин"
"ИЗО","Русский язык","Англ.яз.Зирапс, Англ.яз.Шеленцова","","Англ.яз.Морозихина, ФизикаСтепушин"
"","","ИЗО",""," ----, Англ.яз.Чернявская"
"","","",""," ----, Англ.яз.Чернявская"
"","","","",""
"вторник:","вторник:","вторник:","вторник:","вторник:"
"Испан.яз.Кулиш, Англ.яз.Шулюгина, Англ.яз.Щербачева","Англ.яз.Морозихина, Англ.яз.Чернявская, Англ.яз.Шеленцова","Спецматематика, ИнформатикаГолубев","Математика","ОРКСЭ"
"Англ.яз.Морозихина, Испан.яз.Кулиш, Англ.яз.Щербачева","Математика","Спецматематика, ИнформатикаГолубев","Литература","Русский язык"
"Русский язык","Математика","ИнформатикаГолубев, Спецматематика","История","Англ.яз.Морозихина, Англ.яз.Чернявская"
"Русский язык","ОРКСЭ","ИнформатикаГолубев, Спецматематика","Русский язык","Литература"
"ОРКСЭ","Спецрусский язык","Математика","Русский язык","ИЗО, Химия"
"Математика","Спецрусский язык","Русский язык","ОРКСЭ","Химия"
"Математика","Литература","Англ.яз.Зирапс, Англ.яз.Шеленцова","","ФизикаЗамятни, ------"
"","","","","ФизикаЗамятни, ------"
"cреда:","cреда:","cреда:","cреда:","cреда:"
"Испан.яз.Кулиш, Англ.яз.Шулюгина, Англ.яз.Щербачева","Англ.яз.Морозихина, Англ.яз.Чернявская, Англ.яз.Шеленцова","Математика","История","Биология"
"Англ.яз.Морозихина, Англ.яз.Шулюгина, Испан.яз.Кулиш","Русский язык","Математика","Биология","Спецматематика, Спецхимия"
"Биология","Математика","Русский язык","Обществознание","Спецматематика, Спецхимия"
"Русский язык","Биология","История","Англ.яз.Онищенко, Англ.яз.Юрпик","Русский язык"
"Математика","Обществознание","Англ.яз.Зирапс, Англ.яз.Шеленцова","Русский язык","Русский язык"
"Англ.яз.Морозихина,     -----","ИЗО","Литература","","География"
"",""," -----, Физика","","ФизикаЗамятни, ------"
"",""," ----, Физика","","ФизикаЗамятни, ------"
"четверг:","четверг:","четверг:","четверг:","четверг:"
"Музыка","Русский язык","История","Математика","Математика"
"Математика","Русский язык","Обществознание","География","Математика"
"География","Математика","Музыка","Русский язык","История"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"ИнформатикаЖиткова, ИнформатикаРайкова","Англ.яз.Морозихина, Англ.яз.Чернявская, Англ.яз.Шеленцова","Русский язык","Математика","Обществознание"
"История","Англ.яз.Морозихина, Англ.яз.Чернявская, Англ.яз.Шеленцова","Русский язык","ИнформатикаЖиткова, ИнформатикаРайкова","Музыка"
"","","",""," ----, Спецматематика"
"","","",""," ----, Спецматематика"
"пятница:","пятница:","пятница:","пятница:","пятница:"
"Испан.яз.Кулиш, Англ.яз.Щербачева","ИнформатикаЖиткова, ИнформатикаРайкова","Математика","Русский язык","Русский язык"
"История","География","Биология","Англ.яз.Онищенко, Англ.яз.Юрпик","ИнформатикаРайкова, Спецматматика"
"Обществознание","Русский язык","Астрономия","Англ.яз.Онищенко, Англ.яз.Юрпик","ИнформатикаРайкова, Спецматматика"
"Русский язык","Русский язык","Математика","ИЗО","История"
"Русский язык","История","Физика, ------","Литература","Литература"
"Литература","Литература","Физика, ------","","Спецматематика, ИнформатикаРайкова"
"","","","","Спецматематика, ИнформатикаРайкова"
"","","","",""
"суббота:","суббота:","суббота:","суббота:","суббота:"
"","","Спецматематика,     -----","","Спецхимия, Физпрак"
"","","Спецматематика,     -----","","Спецхимия, Физпрак"
"","","Геометрия","","Физпрак, ФизикаСтепушин"
"","","  -----, Спецматематика","","Физпрак, ФизикаСтепушин"
"","","  ------, Спецматематика","","Математика"
"","","","","Математика"
"","","","",""
"","","","",""
