"7г","7л","7о","7у","7м","7фм","7хф"
"","","","","","",""
"понедельник:","понедельник:","понедельник:","понедельник:","понедельник:","понедельник:","понедельник:"
"Алгебра","Испан.яз.Кулиш, Нем.яз.Герасимова, Франц.яз.Шулюгина","Физика","ИнформатикаХрусталева, ИнформатикаФилатова","","Алгебра, ФизикаСтепушин","Литература"
"Испан.яз.Кулиш, Нем.яз.Герасимова, Франц.яз.Шулюгина","ИнформатикаФилатова, ИнформатикаХрусталева","Физика","Алгебра","Русский язык","Алгебра, ФизикаСтепушин","География"
"История","География","Алгебра","Геометрия","Алгебра","ФизикаСтепушин, Спецмат","Алгебра, Физика"
"География","Алгебра","ИнформатикаХрусталева, ИнформатикаФилатова","Литература","Алгебра","ФизикаСтепушин, Спецмат","Алгебра, Физика"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"Обществознание","Геометрия","Англ.яз.Шулюгина, Англ.яз.Бернацкая","","Литература","Литература","Физика, Информатика"
"","История","","","ИнформатикаСкоробогатов","География","Физика,  Англ.яз."
"","","","","ИнформатикаСкоробогатов","География",""
"","","","","","",""
"вторник:","вторник:","вторник:","вторник:","вторник:","вторник:","вторник:"
"Литература","","","Алгебра","Спецмат","Спецмат, Алгебра","Русский язык"
"История","Алгебра","Русский язык","Англ.яз.Шулюгина, Англ.яз.Юрпик","Спецмат","Спецмат, Алгебра","Русский язык"
"Алгебра","Русский язык","География","Англ.яз.Шулюгина, Англ.яз.Юрпик","Геометрия","История","Англ.яз.Зирапс, Геометрия"
"Геометрия","Русский язык","Геометрия","История","Англ.яз.Юрпик, Англ.яз.Шулюгина","Англ.яз.Чернявская, Англ.яз.Шеленцова","Химия"
"Физика","Англ.яз.Родина, Англ.яз.Морозихина","Алгебра","Русский язык","ФизикаЗамятнин, Спецмат","Обществознание","Физпрак, Алгебра"
"Англ.яз.Родина, Англ.яз.Морозихина","Литература","Англ.яз.Шулюгина, Англ.яз. Бернацкая","Физика","ФизикаЗамятнин, Спецмат","Русский язык","Физпрак, Геометрия"
"","Алешина","","","Физпрак, ------","Русский язык","История"
"","","",""," Физпрак, -------","Химия","Профангл.яз."
"cреда:","cреда:","cреда:","cреда:","cреда:","cреда:","cреда:"
"Русский язык","Алгебра","Биология","Литература","  ----, Англ.яз.Юрпик","Геометрия","Химия"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"Алгебра","Русский язык","История","Англ.яз.Шулюгина, Англ.яз.Юрпик","Биология","СпецфизикаЛукьянов","Литература"
"Англ.яз.Родина, Англ.яз.Морозихина","Геометрия","Русский язык","Русский язык","Литература","СпецфизикаЛукьянов","История"
"Биология","Англ.яз.Родина, Англ.яз.Морозихина","Литература","Алгебра","Англ.яз.Шулюгина, ФизикаЗамятнин","Литература","Спецфизика"
"Литература","Биология","","Геометрия","Англ.яз.Шулюгина, ФизикаЗамятнин","Англ.яз.Чернявская, Англ.яз.Шеленцова","Спецфизика"
"","","","","Англ.яз.Юрпик","Биология","Обществознание"
"","","","","","Биология",""
"четверг:","четверг:","четверг:","четверг:","четверг:","четверг:","четверг:"
"Англ.яз.Родина, Англ.яз.Морозихина","Литература","","География","Русский язык","Информатика, ФизикаСтепушин","Геометрия, Физпрак"
"Англ.яз.Родина, Англ.яз.Морозихина","Физика","Литература","Русский язык","Русский язык","Информатика, ФизикаСтепушин","Геометрия, Физпрак"
"ИнформатикаЖиткова, ИнформатикаРайкова","Англ.яз.Родина, Англ.яз.Морозихина","Русский язык","Обществознание","Спецмат, ФизикаСтепушин","Спецмат, Физпрак","Физика, Спецхимия"
"Русский язык","Англ.яз.Родина, Англ.яз.Морозихина","Обществознание","Биология","Спецмат, ФизикаСтепушин","Спецмат, Физпрак","Физика, Спецхимия"
"Русский язык","Обществознание","Алгебра","Биология","Геометрия","ФизикаСтепушин, Спецмат","Англ.яз.Зирапс, Англ.яз.Родина"
"Литература","География","Алгебра","","Геометрия","ФизикаСтепушин, Спецмат","Спецхимия, Физика"
"","","География","","Литература","История","Спецхимия, Физика"
"","","","","","","Биология"
"пятница:","пятница:","пятница:","пятница:","пятница:","пятница:","пятница:"
"Русский язык","Алгебра","Биология","Литература","История","Русский язык","Русский язык"
"Испан.яз.Кулиш, Нем.яз.Герасимова, Франц.яз.Шулюгина","Биология","Русский язык","Русский язык","География","Русский язык","Русский язык"
"Алгебра","Испан.яз.Кулиш, Нем.яз.Герасимова, Франц.яз.Шулюгина","Литература","География","Русский язык","Литература","Англ.яз.Зирапс, Англ.яз.Родина"
"Геометрия","Литература","Геометрия","История","История","Геометрия","Литература"
"Физика","Русский язык","История","Алгебра","Биология","Геометрия","Геометрия, Алгебра"
"География","История","Англ.яз.Шулюгина, Англ.яз. Бернацкая","Физика","География","Англ.яз.Чернявская, Англ.яз.Шеленцова","Информатика, Геометрия"
"Биология","","","","Обществознание","Химия","География"
"","","","","","","Биология"
"суббота:","суббота:","суббота:","суббота:","суббота:","суббота:","суббота:"
"","","",""," ФизикаСтепушин, Информатика","Физпрак, Алгебра","Химпрак, Алгебра"
"","","",""," ФизикаСтепушин, Информатика","Физпрак, Алгебра","Химпрак, Алгебра"
"","","","","Алгебра","Алгебра, Спецхимия","Информатика, Химпрак"
"","","","","Алгебра","Алгебра, Спецхимия","Информатика, Химпрак"
"","","","","Информатика, Физпрак","Спецхимия, Информатика","Алгебра, Информатика"
"","","","","Информатика, Физпрак","Спецхимия, Информатика","Алгебра, Информатика"
"","","","","","",""
"","","","","","",""
