"8а","8б","8в","8я","8м"
"","","","",""
"понедельник:","понедельник:","понедельник:","понедельник:","понедельник:"
"Англ.яз.Родина, Англ.яз.Шеленцова, Англ.яз.Щербачева","Химия","Алгебра","Алгебра","3Спецмат, 1Физпрак"
"Алгебра","Алгебра","История","Химия","3.Спецмат, 1Физпрак"
"ИнформатикаФилатова, ИнформатикаХрусталева","География","ИнформатикаГолубев, ИнформатикаШереметьев","Англ.яз.Чернявская, Англ.яз.Шеленцова, Англ.яз.Петросян","Русский язык"
"Русский язык","Испан.яз.Кулиш, Франц.яз.Шулюгина, Нем.яз.Герасимова","Русский язык","География","Литература"
"Испан.яз.Кулиш, Франц.яз.Шулюгина, Нем.яз.Герасимова","Англ.яз.Родина, Англ.яз.Щербачева","Литература","География","1.Спецмат, 2.ИнформатикаГолубев, 3.ИнформатикаСкоробогатов"
"География","История","Геометрия","Алгебра","1.Спецмат, 2.ИнформатикаГолубев, 3.ИнформатикаСкоробогатов"
"Литература","","","История","2.Спецмат"
"","","","Химия","2.Спецмат"
"","","","",""
"вторник:","вторник:","вторник:","вторник:","вторник:"
"Геометрия","Русский язык","Химия","Биология","Алгебра"
"Алгебра","Химия","Обществознание","Англ.яз.Чернявская, Англ.яз.Шеленцова, Англ.яз.Петросян","Биология"
"Англ.яз.Родина, Англ.яз.Шеленцова, Англ.яз.Щербачева","Биология","Литература","Русский язык","ФизикаАлешина, ФизикаЧерникова"
"История","Англ.яз.Родина, Англ.яз.Щербачева","Алгебра","Литература","ФизикаАлешина, ФизикаЧерникова"
"Русский язык","ОБЖ","Алгебра","История","Геометрия"
"Обществознание","Русский язык","Англ.яз.Марченко, Англ.яз.Юрпик","Обществознание","Геометрия"
"","ИнформатикаРайкова, ИнформатикаШереметьев","","Спецрус.яз.","Химия"
"","","","Спецрус.яз.",""
"cреда:","cреда:","cреда:","cреда:","cреда:"
"Русский язык","Русский язык","Физика","Алгебра","Русский язык"
"Англ.яз.Родина, Англ.яз.Шеленцова, Англ.яз.Щербачева","Алгебра","Русский язык","Биология","Русский язык"
"Англ.яз.Родина, Англ.яз.Шеленцова, Англ.яз.Щербачева","Литература","Химия","Геометрия","Алгебра"
"Химия","Испан.яз.Кулиш, Франц.яз.Шулюгина, Нем.яз.Герасимова","ОБЖ","Англ.яз.Чернявская, Англ.яз.Шеленцова, Англ.яз.Петросян","Алгебра"
"Физика","Геометрия","Биология","История","История"
"История","Англ.яз.Родина, Англ.яз.Щербачева","География","Физика","История"
"","","","ОБЖ","3.ИнформатикаСкоробогатов"
"","","","","3.ИнформатикаСкоробогатов"
"четверг:","четверг:","четверг:","четверг:","четверг:"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"Физическая культура","Физическая культура","Физическая культура","Физическая культура","Физическая культура"
"География","Геометрия","Физика","Обществознание","Литература"
"Физика","Алгебра","История","Русский язык","География"
"Биология","История","Геометрия","Спецангл.яз., ИнформатикаЛебо","ОБЖ"
"Алгебра","Биология","Англ.яз.Марченко,        ------","Спецангл.яз., ИнформатикаЛебо","Англ.яз.Зирапс, Англ.яз.Родина"
"","Обществознание","","ИнформатикаРайкова, Спецангл.яз.","Геометрия"
"","","","ИнформатикаРайкова, Спецангл.яз.","Биология"
"пятница:","пятница:","пятница:","пятница:","пятница:"
"Алгебра","Физика","Биология","Алгебра","География"
"Биология","Физика","Русский язык","Геометрия","Алгебра"
"Геометрия","Литература","География","Англ.яз.Чернявская, Англ.яз.Шеленцова, Англ.яз.Петросян","ФизикаАлешина, ФизикаЧерникова"
"Испан.яз.Кулиш, Франц.яз.Шулюгина, Нем.яз.Герасимова","Англ.яз.Родина, Англ.яз.Щербачева","Англ.яз.Марченко, Англ.яз.Юрпик","Англ.яз.Чернявская, Англ.яз.Шеленцова, Англ.яз.Петросян","ФизикаАлешина, ФизикаЧерникова"
"ОБЖ","География","Алгебра","Физика","Обществознание"
"Химия","Алгебра","  -------, Англ.яз.Юрпик","Русский язык","Англ.яз.Зирапс, Англ.яз.Родина"
"Литература","","","Литература","Англ.яз.Зирапс, Англ.яз.Родина"
"","","","","Химия"
"суббота:","суббота:","суббота:","суббота:","суббота:"
"","","","","2.Спецмат, 3.Фипрак"
"","","","","2.Спецмат, 3.Физпрак"
"","","","","2.Физпрак, 1.ИнформатикаГолубев"
"","","","","2.Физпрак, 1.ИнформатикаГолубев"
"","","","","1.Спецмат"
"","","","","1.Спецмат"
"","","","",""
"","","","",""
